失败,실패
成功,성공
处理中,처리중
打包中,패키징중
参数错误,한도 오류
地址格式不正确,주소의 형식이 올바르지 않습니다.
请输入合法的币种名称进行搜索,정확한 화폐의 이름을 입력한 후 검색하세요.
"您有一笔交易已发送成功，金额：%s","거래를 성공적으로 전송하였습니다. 금액은 : %s 입니다."
"您有一笔收款到账，金额：%s","사용자의 계좌로 금액이 입금되었습니다. 금액은 %s 입니다."
"系统升级中，请稍后使用","여기에 텍스트를 바꾸십시오."
"您已被锁定，请联系管理员，谢谢","사용자의 계정이 일시 정지됩니다. 관리자를 연락하여주십시오, 감사합니다."
币种不存在,해당 화폐는 현재 지원하지 않습니다.
"%s - %s共管模式","%s - %s 공동관리모드"

转账失败,이체 실패
转账成功,이체 성공

收款成功,수금 성공
收款失败,수금 실패
确认中,확인중

"您的请求正在处理中，请稍后。","현재 처리중입니다, 잠시만 기다려주세요."
"矿工们正在处理中，请稍后再试.","마너들이 처리중에 있습니다, 잠시만 기다려주세요."
"该用户名不存在","해당 회원명이 존재하지 않습니다."
"该用户名已存在","해당 회원명은 이미 존재합니다."
"EOS账户创建成功","EOS 계정이 성공적으로 개설되었습니다."
"未找到使用该公钥的账户","해당 퍼블릭키로 계정을 찾을 수 없습니다. "

游戏,게임
交易,교환
其他,기타
工具,도구


不可重复绑定,중복 연동 불가능
请输入联系人名称,연락처 이름을 입력해주세요.
该联系人已存在,해당 연락처가 이미 존재합니다.
该联系人不存在,해당 연락처가 존재하지 않습니다.
请填写标题,을 입력해주세요.
请填写内容,내용을 입력해주세요.
标题不能超过150个字符,제목은 150자를 초과할 수 없습니다.
内容不能超过1500个字符,내용은 1500 자를 초과할 수 없습니다.
邮箱格式不正确,이메일 형식이 올바르지 않습니다.
用户不存在,회원이 존재하지 않습니다.
APP不存在,APP가 존재하지 않습니다.
地址不能为空,주소는 반드시 입력해야합니다.


